WAV A6 (RMS) root-mean-square ,WAV D4 FFT frec media,ang_seg_mom,Varianza tiempo,WAV D3 FFT frec media,maximum,WAV D5 the ratio of the largest absolute value to the root-mean-square (RMS).,WAV D2 the difference between the maximum and minimum values,FFT rms,TIEMPO peak2rms,percentage of energy D5,WAV D3 FFT VMAX,Entropia tiempo,WAV D5 the difference between the maximum and minimum values,minimum,WAV MEDIA DE LA ENERGIA,WAV D6 the ratio of the largest absolute value to the root-mean-square (RMS).,WAV D2 (RMS) root-mean-square ,Max. Frecuencia,percentage of energy D5,Etiqueta
0.0679665358598828,0.194929041966487,0.9940871381273756,0.102626484415147,0.103968974894614,0.1354838709677419,0.276762864076296,0.0298386806516248,0.151595245199001,0.110557120017061,0.353464847861143,0.117600322131037,0.0,0.1937114912080567,1.0,0.1260387834922876,0.35317730151144,0.0507871018822977,0.128440366972477,0.353464847861143,1.0
0.032984130809039,0.473211432745306,0.6285666682993197,0.7954422891291228,0.622485623934126,0.5483870967741935,0.211514255494477,1.0,0.72692437922673,0.238391124441243,0.0512356941370528,0.415379498923158,0.0,0.1678978226629087,1.0,0.549357350966632,0.131005859339862,0.708297907572958,0.431192660550459,0.0512356941370528,0.0
0.0784844686935681,0.205219901620237,0.9132231372460063,0.0936237696545403,0.108542134617357,0.4903225806451613,0.334263947603906,0.0310395892317476,0.162894900512917,0.130987960770602,0.270740257321567,0.0707531041153494,0.0,0.1749467131621147,1.0,0.098223583239828,0.276320102937941,0.0579134390592236,0.114678899082569,0.270740257321567,1.0
0.0664584140759297,0.213091174048905,0.8302829144230232,0.1328116496552452,0.121295828402542,0.5483870967741935,0.214511061303827,0.0394908323447294,0.233356066895712,0.0928344042865475,0.574458260156424,0.0853037213787658,0.0,0.2410867676208952,1.0,0.1078750286345562,0.40629541541056,0.085405845081979,0.610091743119266,0.574458260156424,1.0
0.0806995696548939,0.289056075665119,0.9385104831860124,0.2427053957650749,0.251820278957749,0.4258064516129032,0.37723658003962,0.266708190595496,0.282067257923497,0.14101073970555,0.125013801028299,0.236535346127964,0.0,0.1889571661581501,1.0,0.2662089296928133,0.181170357447336,0.248175028739592,0.302752293577982,0.125013801028299,1.0
0.0537028991528812,0.330233475186691,0.9954034767493698,0.2219898273656359,0.1751452207054,0.1870967741935484,0.145315211295437,0.0813874176401421,0.28973855667634,0.122379626828349,0.227304726048763,0.143663899331141,0.0,0.1523522121934642,1.0,0.22142707005203,0.274324913532814,0.132895450059145,0.146788990825688,0.227304726048763,1.0
0.0713380136103077,0.396437032652604,0.6395538809198605,0.4786110291572175,0.140922138191777,1.0,0.378604977304797,0.0320382139557269,0.408869022924897,0.133722229274792,0.329784079442003,0.130810775626481,0.0,0.408522405372288,1.0,0.5425380747434227,0.167767083909115,0.0456782752419617,0.055045871559633,0.329784079442003,1.0
0.0508367117170074,0.33604674943308,0.606526639388574,0.4094447453021619,0.207773049131797,0.832258064516129,0.549228511711974,0.0627514938963705,0.307382660316922,0.246308248623161,0.248001607028497,0.193030875210059,0.0,0.4255850130389937,1.0,0.6290308244086487,0.166926204629663,0.106412578946063,0.119266055045872,0.248001607028497,1.0
0.0754641923807262,0.291185129098199,0.8980397220441172,0.1549324127526007,0.146823442404438,0.4258064516129032,0.341805388544717,0.0890433280550166,0.256012546556213,0.178217068226466,0.293562459700236,0.154412714419029,0.0,0.2335014555070075,1.0,0.1255998570883428,0.128036251829387,0.0936577190570906,0.197247706422018,0.293562459700236,1.0
0.1135622073357389,0.546181232308185,0.6076031027576672,0.8843435291371163,0.527963605932153,0.6064516129032258,0.31337960455789,0.512171980470346,0.58623027118885,0.0286718655789037,0.0924573515537835,0.352402682150068,0.0,0.2715530024700532,1.0,0.9941848729675204,0.354197820064015,0.447363067043926,0.284403669724771,0.0924573515537835,0.0
0.0360077363165674,0.600586197432342,0.6472519244555538,1.0,0.736849215980417,0.832258064516129,0.152274564199642,0.551774825939493,0.743465444987032,0.135936606377907,0.0464591593800577,0.429897524325303,0.0,0.1578407016185986,1.0,0.836036333835229,0.900176204677529,0.595569470481955,0.293577981651376,0.0464591593800577,0.0
0.0738163245996192,0.204857227965194,0.929602601606616,0.1001794337925612,0.101816478849144,0.4258064516129032,0.201913046630148,0.0455472850475466,0.196901421515014,0.110618148894353,0.443307343192991,0.0837640396670899,0.0,0.1917978981529716,1.0,0.0805115271863611,0.686582128382673,0.0923677339707086,0.252293577981651,0.443307343192991,1.0
0.0524199325599503,0.38587822268138,0.5154129294345873,0.5778175872545119,0.404129776222115,1.0,0.379328374024269,0.509727696965257,0.401608019775343,0.177830250770544,0.108979101000124,0.287882060397266,0.0,0.272736046370351,1.0,0.8096105712038977,0.365552038866031,0.342630437117704,0.288990825688073,0.108979101000124,0.0
0.0388840899028052,0.343598792738847,0.87055498557474,0.3337298763210581,0.153538574160542,0.5161290322580645,0.24953078851085,0.0427163731979021,0.333228003229226,0.112722772207233,0.440844485464093,0.211531253748127,0.0,0.3523761899220783,1.0,0.3718771866351568,0.227725514720126,0.0492267875786196,0.100917431192661,0.440844485464093,1.0
